cust_id,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
20013390,113,6,269.97,5,5,5,555
20044027,168,1,40.99,4,1,2,412
20132046,168,4,86.96,4,4,4,444
20180528,168,2,11.49,4,3,1,431
20259860,168,1,33.99,4,1,2,412
20298921,168,1,57.99,4,1,3,413
20323265,168,1,93.99,4,1,4,414
20330348,168,1,11.99,4,1,1,411
20356677,117,4,150.68,5,4,5,545
20403372,168,1,32.99,4,1,2,412
20446646,168,2,114.94,4,3,4,434
20453249,168,1,27.99,4,1,1,411
20478224,168,1,10.9,4,1,1,411
20502672,168,1,81.99,4,1,4,414
20655067,2,4,116.96,5,4,4,544
20655396,168,2,52.98,4,3,3,433
20786791,168,2,43.980000000000004,4,3,2,432
20912340,168,4,10.46,4,4,1,441
20976611,168,1,49.99,4,1,2,412
20984442,168,1,94.99,4,1,4,414
21098443,168,1,90.99,4,1,4,414
21198866,168,1,44.99,4,1,2,412
21217137,168,1,64.99,4,1,3,413
21221035,168,2,21.48,4,3,1,431
21227736,168,1,25.9,4,1,1,411
21227740,168,3,84.97,4,4,4,444
21227819,168,3,47.540000000000006,4,4,2,442
21227836,168,1,61.99,4,1,3,413
21228041,168,3,83.96999999999998,4,4,4,444
21228078,168,1,61.99,4,1,3,413
21228278,168,1,3.99,4,1,1,411
21228283,168,1,58.79,4,1,3,413
21228358,168,2,102.97999999999999,4,3,4,434
21228664,168,1,37.99,4,1,2,412
21228779,168,1,73.99,4,1,3,413
21228879,168,1,118.95,4,1,4,414
21228939,168,1,70.99,4,1,3,413
21228958,168,3,156.97,4,4,5,445
21229097,168,1,43.99,4,1,2,412
21229107,168,1,69.99,4,1,3,413
21229221,168,1,33.99,4,1,2,412
21229314,168,3,75.97,4,4,3,443
21229354,168,1,28.99,4,1,1,411
21229420,168,2,208.94,4,3,5,435
21229502,168,1,51.09,4,1,2,412
21229513,168,1,61.99,4,1,3,413
21229554,161,4,147.96,4,4,5,445
21229652,168,2,126.78,4,3,4,434
21229723,168,2,6.98,4,3,1,431
21229774,168,5,83.94999999999999,4,5,4,454
21229925,168,2,90.28,4,3,4,434
21229930,168,1,83.99,4,1,4,414
21230123,168,4,148.46,4,4,5,445
21230165,168,4,111.96,4,4,4,444
21230265,168,2,103.98,4,3,4,434
21230453,105,2,92.98,5,3,4,534
21230470,168,2,47.980000000000004,4,3,2,432
21230585,168,2,115.97999999999999,4,3,4,434
21230746,168,4,69.69000000000001,4,4,3,443
21230823,168,2,71.98,4,3,3,433
21230874,168,1,23.99,4,1,1,411
21230914,168,2,42.980000000000004,4,3,2,432
21230987,168,1,49.99,4,1,2,412
21231092,168,2,24.98,4,3,1,431
21231196,168,6,135.94,4,5,5,455
21231345,168,1,69.99,4,1,3,413
21231358,168,2,54.379999999999995,4,3,3,433
21231383,168,7,144.93,4,5,5,455
21231424,168,1,74.99,4,1,3,413
21231437,168,1,121.95,4,1,4,414
21231447,101,3,317.93,5,4,5,545
21231467,168,1,33.59,4,1,2,412
21231520,168,1,72.99,4,1,3,413
21231942,168,7,146.93,4,5,5,455
21231995,168,1,9.49,4,1,1,411
21232064,51,6,187.43,5,5,5,555
21232241,168,1,3.98,4,1,1,411
21232303,168,1,73.99,4,1,3,413
21232460,168,1,10.49,4,1,1,411
21232526,168,1,126.95,4,1,4,414
21232674,168,1,25.99,4,1,1,411
21232792,168,1,6.49,4,1,1,411
21233183,168,1,57.99,4,1,3,413
21233210,168,2,70.47999999999999,4,3,3,433
21233374,168,1,17.49,4,1,1,411
21233378,168,3,103.97,4,4,4,444
21233401,168,3,41.79,4,4,2,442
21233469,168,2,118.47999999999999,4,3,4,434
21233549,168,1,71.99,4,1,3,413
21233596,168,1,88.99,4,1,4,414
21233911,168,2,60.18,4,3,3,433
21233988,168,1,68.99,4,1,3,413
